212, mpi_job.sh, R, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/1_zyy-Cl-Cu2O-Cu/CO_ads/Cl-Cu2O-Cu/2CO, 1685243286, cnode[24-26]
214, mpi_job.sh, R, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/1_zyy-Cl-Cu2O-Cu/CO_ads/Cu2O-Cu/3CO, 1685243353, cnode[32-34]
216, opt_zpe_job.sh, R, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/4_NiFeLDH/1-N2H2, 1685243916, cnode[47-49]
217, opt_zpe_job.sh, R, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/4_NiFeLDH/2-N2H2, 1685244000, cnode[44-46]
218, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/4_NiFeLDH/H, 1685243913, (Priority)
219, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/4_NiFeLDH/N2, 1685243913, (Priority)
220, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/4_NiFeLDH/N2H, 1685243913, (Priority)
221, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/4_NiFeLDH/N2H3, 1685243913, (Priority)
222, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/4_NiFeLDH/N2H4, 1685243913, (Priority)
223, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/4_NiFeLDH/slab, 1685243914, (Priority)
224, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/7_Ru-NiFeLDH/1-N2H2, 1685243933, (Priority)
225, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/7_Ru-NiFeLDH/2-N2H2, 1685243933, (Priority)
226, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/7_Ru-NiFeLDH/N2, 1685243933, (Priority)
227, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/7_Ru-NiFeLDH/N2H, 1685243933, (Priority)
228, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/7_Ru-NiFeLDH/N2H3, 1685243933, (Priority)
229, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/7_Ru-NiFeLDH/N2H4, 1685243933, (Priority)
230, opt_zpe_job.sh, PD, 0-00:00:00, /gpfs/home/scms/yxchen/cyx/4_zh_HzOR_NiFeLDH/7_Ru-NiFeLDH/slab, 1685243933, (Priority)
